Time step,Uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty
,dynamic,f=36,f=30,f=24,f=18,f=15,f=12
258,0.010353,0.015612,0.011422,0.010476,0.010316,0.015796,0.584747
259,0.010352,0.015516,0.011406,0.010473,0.010314,0.015642,0.583603
260,0.010348,0.015428,0.011395,0.010468,0.010309,0.015485,0.582473
261,0.010347,0.015347,0.011382,0.010467,0.010304,0.01534,0.581308
262,0.010345,0.015261,0.011369,0.010462,0.010299,0.015203,0.580122
263,0.010343,0.015188,0.011356,0.010461,0.010295,0.015058,0.578931
264,0.010342,0.015108,0.011342,0.010457,0.010294,0.014931,0.577725
265,0.01034,0.015034,0.011329,0.010454,0.01029,0.014787,0.576499
266,0.010339,0.01496,0.011315,0.010452,0.010287,0.01466,0.575328
267,0.010336,0.014884,0.011302,0.010449,0.010284,0.014544,0.574101
268,0.010334,0.014814,0.011289,0.010445,0.010281,0.01442,0.572943
269,0.010332,0.014744,0.011278,0.010444,0.010279,0.014309,0.571817
270,0.010328,0.014667,0.011268,0.010442,0.010276,0.014196,0.570738
271,0.010325,0.014602,0.011255,0.01044,0.010275,0.014087,0.569712
272,0.010324,0.014542,0.011245,0.010437,0.010273,0.013977,0.568474
273,0.010323,0.014481,0.011232,0.010436,0.01027,0.013876,0.567358
274,0.010321,0.014419,0.01122,0.010435,0.010266,0.013777,0.56617
275,0.010318,0.014353,0.011209,0.010433,0.010265,0.013676,0.565022
276,0.010319,0.014292,0.011197,0.01043,0.010263,0.013578,0.563918
277,0.010316,0.014229,0.011186,0.010429,0.01026,0.013477,0.562775
278,0.010315,0.014165,0.011175,0.010427,0.010258,0.013396,0.561629
279,0.010314,0.014109,0.011164,0.010425,0.010255,0.0133,0.56053
280,0.010313,0.014044,0.011151,0.010425,0.010253,0.013213,0.559427
281,0.010312,0.013987,0.011137,0.010422,0.010253,0.01312,0.55838
282,0.01031,0.013926,0.011125,0.010419,0.01025,0.013038,0.557244
283,0.010309,0.013876,0.011113,0.010415,0.010249,0.012961,0.55614
284,0.010307,0.013825,0.011104,0.010414,0.010247,0.01289,0.554938
285,0.010306,0.013773,0.011093,0.010411,0.010247,0.012805,0.553775
286,0.010305,0.013719,0.011082,0.01041,0.010246,0.012738,0.552729
287,0.010305,0.013674,0.01107,0.010409,0.010245,0.012669,0.551604
288,0.010304,0.01363,0.01106,0.010407,0.010243,0.012602,0.550552
289,0.010303,0.013586,0.011052,0.010406,0.010242,0.012538,0.549322
290,0.010303,0.013546,0.011044,0.010404,0.01024,0.012479,0.548168
291,0.010303,0.013502,0.011035,0.010401,0.010239,0.012414,0.547004
292,0.010303,0.013461,0.011027,0.010399,0.010239,0.012351,0.545859
293,0.010302,0.013419,0.011019,0.010397,0.010239,0.012295,0.544786
294,0.010301,0.013387,0.011011,0.010397,0.010239,0.012238,0.543678
295,0.010299,0.013349,0.011004,0.010395,0.010237,0.012178,0.542645
296,0.010296,0.013314,0.010997,0.010392,0.010234,0.012126,0.541578
297,0.010294,0.013278,0.01099,0.01039,0.010232,0.012077,0.540451
298,0.010292,0.01324,0.010981,0.010388,0.010231,0.012024,0.539341
299,0.010292,0.013206,0.010973,0.010384,0.01023,0.011972,0.538243
300,0.010292,0.013176,0.010968,0.010383,0.010229,0.011919,0.537208
301,0.010291,0.013144,0.010961,0.010381,0.010228,0.011877,0.536037
302,0.010291,0.013109,0.010952,0.010381,0.010228,0.011836,0.534957
303,0.010291,0.013078,0.010946,0.01038,0.010227,0.011794,0.533909
304,0.010289,0.013042,0.010939,0.010378,0.010225,0.011751,0.532801
305,0.010288,0.013007,0.010931,0.010377,0.010224,0.011707,0.531708
306,0.010288,0.012971,0.010922,0.010377,0.010224,0.011663,0.530593
307,0.010287,0.01294,0.010917,0.010377,0.010221,0.011614,0.529518
308,0.010286,0.012905,0.010912,0.010377,0.010222,0.011572,0.528403
309,0.010286,0.012875,0.010905,0.010376,0.010222,0.011538,0.527389
310,0.010282,0.012843,0.010899,0.010376,0.01022,0.011503,0.526406
311,0.010283,0.012808,0.010892,0.010375,0.010217,0.011472,0.525399
312,0.010283,0.012773,0.010887,0.010375,0.010216,0.011441,0.524332
313,0.01028,0.012743,0.01088,0.010374,0.010212,0.011406,0.523278
314,0.010279,0.012717,0.010875,0.010373,0.01021,0.011372,0.522137
315,0.01028,0.012691,0.01087,0.01037,0.010208,0.011336,0.521098
316,0.010278,0.012664,0.010865,0.010368,0.010208,0.011303,0.519994
317,0.010277,0.012639,0.010861,0.010366,0.010207,0.011274,0.518902
318,0.010277,0.012614,0.010857,0.010365,0.010206,0.011246,0.517863
319,0.010275,0.012589,0.010851,0.010365,0.010204,0.011221,0.516805
320,0.010272,0.012564,0.010846,0.010362,0.010206,0.011198,0.515844
321,0.010272,0.012541,0.010842,0.010362,0.010206,0.011174,0.514827
322,0.010272,0.012517,0.010838,0.010358,0.010205,0.011148,0.51377
323,0.010271,0.012496,0.010834,0.010358,0.010204,0.011123,0.512631
324,0.01027,0.012473,0.010831,0.010356,0.010202,0.011102,0.511675
325,0.01027,0.012452,0.010827,0.010353,0.010203,0.01108,0.510604
326,0.010269,0.012434,0.010822,0.01035,0.010202,0.011057,0.509521
327,0.010269,0.012412,0.010817,0.010348,0.010202,0.011034,0.50853
328,0.010268,0.012392,0.010814,0.010348,0.010203,0.011013,0.50752
329,0.010267,0.012369,0.01081,0.010348,0.0102,0.010996,0.506476
330,0.010267,0.012349,0.010806,0.010346,0.010202,0.010979,0.505495
331,0.010265,0.012329,0.010803,0.010344,0.010201,0.010963,0.504502
332,0.010263,0.012307,0.010801,0.010341,0.0102,0.010938,0.503398
333,0.010262,0.012285,0.010799,0.010339,0.010201,0.010919,0.502319
334,0.010262,0.012268,0.010795,0.010337,0.0102,0.0109,0.501426
335,0.01026,0.012249,0.010793,0.010336,0.010198,0.010884,0.500399
336,0.01026,0.012228,0.010789,0.010336,0.010197,0.01087,0.499421
337,0.010261,0.012202,0.010786,0.010336,0.010199,0.010859,0.498389
338,0.010259,0.01218,0.010781,0.010333,0.010199,0.010843,0.497399
339,0.01026,0.012155,0.010779,0.010331,0.010198,0.010832,0.49644
340,0.01026,0.012129,0.010777,0.010332,0.010198,0.010819,0.495411
341,0.01026,0.012105,0.010775,0.010332,0.010199,0.010805,0.49447
342,0.010259,0.012082,0.010772,0.010331,0.010197,0.010788,0.49346
343,0.010261,0.012061,0.01077,0.010328,0.010198,0.010775,0.492431
344,0.01026,0.012041,0.010767,0.010327,0.010197,0.010762,0.491484
345,0.01026,0.01202,0.010766,0.010325,0.010196,0.010753,0.490508
346,0.01026,0.012,0.010765,0.010326,0.010196,0.010739,0.489558
347,0.010258,0.011985,0.010763,0.010324,0.010195,0.010728,0.48866
348,0.010257,0.011966,0.010762,0.010325,0.010193,0.010718,0.487784
349,0.010257,0.011945,0.010758,0.010325,0.010195,0.01071,0.486759
350,0.010256,0.011927,0.010758,0.010325,0.010194,0.010698,0.485736
351,0.010256,0.011911,0.010756,0.010325,0.010194,0.010689,0.48474
352,0.010256,0.011895,0.010755,0.010323,0.010193,0.010679,0.483841
353,0.010257,0.011878,0.010752,0.010324,0.010194,0.010667,0.482945
354,0.010256,0.011861,0.01075,0.010322,0.010192,0.010656,0.481968
355,0.010256,0.011843,0.010748,0.010322,0.010191,0.010653,0.480937
356,0.010254,0.011827,0.010747,0.010322,0.010192,0.010645,0.479922
357,0.010253,0.011813,0.010746,0.010321,0.010193,0.010634,0.47905
358,0.010252,0.011799,0.010744,0.010319,0.010191,0.010629,0.478102
359,0.010252,0.011784,0.010742,0.010318,0.010192,0.010621,0.477174
360,0.010251,0.011772,0.010741,0.010319,0.010193,0.010612,0.476176
361,0.010251,0.011755,0.01074,0.010319,0.010194,0.010603,0.475267
362,0.01025,0.011741,0.010741,0.010319,0.010194,0.010593,0.474377
