Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	dynamic	f=36	f=30	f=24	f=18	f=15	f=12
281	0.010291	0.012346	0.010819	0.010266	0.010275	0.019999	0.820036
282	0.010288	0.012321	0.010813	0.010267	0.010272	0.019777	0.819545
283	0.010289	0.012297	0.010812	0.010267	0.010271	0.019573	0.818997
284	0.010289	0.012269	0.010807	0.010265	0.010267	0.019371	0.81848
285	0.01029	0.012243	0.010803	0.010264	0.010266	0.019168	0.817975
286	0.01029	0.012217	0.0108	0.010261	0.010265	0.018974	0.8175
287	0.01029	0.012194	0.010798	0.010259	0.010261	0.018783	0.817036
288	0.01029	0.012165	0.010795	0.010259	0.010261	0.018595	0.816458
289	0.010288	0.012144	0.010791	0.01026	0.010259	0.018406	0.815844
290	0.01029	0.012117	0.01079	0.010259	0.010257	0.018224	0.81534
291	0.010289	0.01209	0.010788	0.010257	0.010253	0.018034	0.814795
292	0.010289	0.012065	0.010785	0.010255	0.010251	0.017856	0.814285
293	0.010289	0.012042	0.01078	0.010254	0.01025	0.017682	0.813698
294	0.010288	0.012017	0.010775	0.010253	0.010248	0.017514	0.813188
295	0.010285	0.011991	0.010774	0.010253	0.010247	0.01734	0.81274
296	0.010285	0.011962	0.010772	0.010253	0.010243	0.017177	0.812208
297	0.010283	0.011932	0.010769	0.010252	0.010241	0.016995	0.811725
298	0.010284	0.011908	0.010765	0.010251	0.010239	0.01685	0.811189
299	0.010282	0.011884	0.010761	0.010249	0.010238	0.016689	0.810704
300	0.010284	0.011855	0.010758	0.010249	0.010235	0.016536	0.810209
301	0.010284	0.011827	0.010755	0.010248	0.010232	0.016388	0.809667
302	0.010282	0.011802	0.010752	0.010248	0.010231	0.016238	0.809104
303	0.01028	0.011776	0.010749	0.010248	0.010231	0.016104	0.808673
304	0.010278	0.011747	0.010746	0.010247	0.01023	0.015977	0.808177
305	0.010276	0.01172	0.010743	0.010247	0.010229	0.015845	0.807683
306	0.010276	0.011694	0.010739	0.010246	0.010229	0.015713	0.80721
307	0.010276	0.011667	0.010737	0.010246	0.010227	0.015591	0.80668
308	0.010276	0.011641	0.010735	0.010246	0.010228	0.015473	0.806242
309	0.010277	0.011617	0.010733	0.010243	0.010228	0.015365	0.805719
310	0.010275	0.011593	0.010732	0.010243	0.010227	0.015245	0.805237
311	0.010275	0.01157	0.010731	0.010244	0.010228	0.015134	0.80474
312	0.010275	0.011548	0.010729	0.010243	0.010226	0.01502	0.804194
313	0.010276	0.011525	0.010725	0.010244	0.010225	0.014915	0.803706
314	0.010278	0.011508	0.010723	0.010245	0.010222	0.014815	0.80319
315	0.010276	0.011486	0.01072	0.010243	0.010222	0.014708	0.802694
316	0.010274	0.011465	0.010717	0.010244	0.01022	0.014594	0.802117
317	0.010273	0.011441	0.010716	0.010243	0.010217	0.014486	0.801598
318	0.010271	0.011424	0.010713	0.010243	0.010217	0.014373	0.800983
319	0.010267	0.011406	0.010712	0.010242	0.010216	0.014277	0.800505
320	0.010268	0.011387	0.01071	0.010243	0.010214	0.014185	0.799978
321	0.01027	0.01137	0.010708	0.010241	0.010215	0.014092	0.799551
322	0.01027	0.011352	0.010705	0.01024	0.010215	0.013995	0.799028
323	0.010268	0.011332	0.010701	0.010238	0.010215	0.013897	0.798416
324	0.010267	0.01132	0.010698	0.010236	0.010215	0.013809	0.797975
325	0.010266	0.011303	0.010693	0.010235	0.010215	0.01372	0.797442
326	0.010266	0.011286	0.01069	0.010234	0.010214	0.013634	0.79692
327	0.010267	0.01127	0.010687	0.010232	0.010213	0.013557	0.79639
328	0.010267	0.011254	0.010684	0.010232	0.010214	0.013481	0.795863
329	0.010266	0.011239	0.010682	0.010232	0.010216	0.013406	0.79538
330	0.010264	0.011227	0.010681	0.010233	0.010215	0.013333	0.794798
331	0.010264	0.011214	0.010679	0.010231	0.010213	0.013259	0.794292
332	0.010265	0.011197	0.010676	0.010231	0.010213	0.013194	0.793779
333	0.010265	0.011184	0.010674	0.01023	0.010211	0.013125	0.793263
334	0.010265	0.011172	0.01067	0.01023	0.010211	0.013058	0.792799
335	0.010264	0.011157	0.010668	0.01023	0.010211	0.013006	0.792217
336	0.010265	0.011142	0.010665	0.010231	0.010211	0.012929	0.791736
337	0.010265	0.011129	0.010663	0.010229	0.010211	0.012869	0.791154
338	0.010264	0.01112	0.010659	0.010228	0.01021	0.01281	0.790626
339	0.010262	0.011107	0.010656	0.010226	0.01021	0.01275	0.790131
340	0.010263	0.01109	0.010656	0.010227	0.010209	0.012691	0.789615
341	0.010262	0.011075	0.010655	0.010228	0.010208	0.012633	0.789137
342	0.010262	0.011062	0.010651	0.010226	0.010209	0.012572	0.788618
343	0.010262	0.011047	0.010643	0.010227	0.010208	0.012519	0.788088
344	0.010261	0.011032	0.010637	0.010228	0.010206	0.012459	0.787561
345	0.010259	0.01102	0.010635	0.010228	0.010206	0.012411	0.786946
346	0.010259	0.011007	0.010631	0.010227	0.010206	0.012362	0.78652
347	0.01026	0.010992	0.010628	0.010225	0.010205	0.012312	0.786051
348	0.010259	0.010979	0.010622	0.010225	0.010204	0.012265	0.785546
349	0.010258	0.010967	0.01062	0.010227	0.010205	0.012216	0.785102
350	0.010258	0.010954	0.010616	0.010227	0.010206	0.01217	0.784572
351	0.01026	0.01094	0.01061	0.010227	0.010206	0.012116	0.784086
352	0.01026	0.010929	0.010607	0.010228	0.010205	0.012072	0.783594
353	0.010258	0.010916	0.010602	0.010228	0.010206	0.012029	0.78311
354	0.010259	0.010907	0.010598	0.010228	0.010208	0.011983	0.782684
355	0.010259	0.010895	0.010596	0.010228	0.010209	0.011943	0.782297
356	0.010257	0.010885	0.010592	0.010228	0.010211	0.011903	0.781721
357	0.010257	0.010874	0.010587	0.010227	0.010209	0.011862	0.781198
358	0.010257	0.010862	0.010585	0.010227	0.010207	0.011823	0.780637
359	0.010258	0.010851	0.010581	0.010228	0.010207	0.011785	0.780141
360	0.010259	0.010841	0.010577	0.010228	0.010204	0.011743	0.7796
361	0.010257	0.01083	0.010572	0.010227	0.010204	0.011714	0.779189
362	0.010256	0.01082	0.010569	0.010227	0.010203	0.011677	0.778729
363	0.010255	0.010811	0.010566	0.010227	0.010202	0.011638	0.778266
364	0.010255	0.0108	0.010564	0.010226	0.010201	0.011604	0.777859
365	0.010256	0.010791	0.010562	0.010226	0.010199	0.011571	0.777307
366	0.010255	0.010783	0.01056	0.010226	0.0102	0.01154	0.77683
367	0.010254	0.010775	0.010558	0.010224	0.010202	0.011505	0.776307
368	0.010253	0.010766	0.010556	0.010224	0.010201	0.011471	0.775819
369	0.010254	0.010757	0.010555	0.010225	0.0102	0.011442	0.775369
