Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	¦Î=0.5	¦Î=1	¦Î=1.5	¦Î=2
277	0.010298	0.010316	0.010369	0.010479
278	0.010297	0.010315	0.010366	0.010476
279	0.010296	0.010314	0.010364	0.010471
280	0.010293	0.010313	0.010361	0.010466
281	0.010291	0.010312	0.010361	0.010464
282	0.010288	0.01031	0.010358	0.010461
283	0.010289	0.010309	0.010354	0.010459
284	0.010289	0.010307	0.010353	0.010457
285	0.01029	0.010306	0.010347	0.010456
286	0.01029	0.010305	0.010345	0.010451
287	0.01029	0.010305	0.010343	0.010446
288	0.01029	0.010304	0.01034	0.010444
289	0.010288	0.010303	0.010338	0.010439
290	0.01029	0.010303	0.010335	0.010437
291	0.010289	0.010303	0.01033	0.010435
292	0.010289	0.010303	0.010331	0.010432
293	0.010289	0.010302	0.010331	0.01043
294	0.010288	0.010301	0.010329	0.010426
295	0.010285	0.010299	0.010327	0.010424
296	0.010285	0.010296	0.010324	0.010422
297	0.010283	0.010294	0.010324	0.010419
298	0.010284	0.010292	0.010323	0.010417
299	0.010282	0.010292	0.010321	0.010415
300	0.010284	0.010292	0.01032	0.010413
301	0.010284	0.010291	0.010317	0.01041
302	0.010282	0.010291	0.010315	0.010407
303	0.01028	0.010291	0.010313	0.010406
304	0.010278	0.010289	0.010312	0.010404
305	0.010276	0.010288	0.010311	0.010403
306	0.010276	0.010288	0.010311	0.0104
307	0.010276	0.010287	0.01031	0.010397
308	0.010276	0.010286	0.010309	0.010394
309	0.010277	0.010286	0.010308	0.010392
310	0.010275	0.010282	0.010307	0.01039
311	0.010275	0.010283	0.010306	0.010389
312	0.010275	0.010283	0.010305	0.010389
313	0.010276	0.01028	0.010304	0.010388
314	0.010278	0.010279	0.010305	0.010387
315	0.010276	0.01028	0.010305	0.010386
316	0.010274	0.010278	0.010305	0.010385
317	0.010273	0.010277	0.010304	0.010384
318	0.010271	0.010277	0.010305	0.010384
319	0.010267	0.010275	0.010305	0.010382
320	0.010268	0.010272	0.010303	0.01038
321	0.01027	0.010272	0.010302	0.010379
322	0.01027	0.010272	0.010301	0.010379
323	0.010268	0.010271	0.0103	0.010378
324	0.010267	0.01027	0.010301	0.010377
325	0.010266	0.01027	0.010302	0.010377
326	0.010266	0.010269	0.010303	0.010376
327	0.010267	0.010269	0.010302	0.010375
328	0.010267	0.010268	0.0103	0.010375
329	0.010266	0.010267	0.0103	0.010375
330	0.010264	0.010267	0.010299	0.010374
331	0.010264	0.010265	0.010299	0.010373
332	0.010265	0.010263	0.010298	0.010373
333	0.010265	0.010262	0.010297	0.010372
334	0.010265	0.010262	0.010297	0.010372
335	0.010264	0.01026	0.010298	0.010371
336	0.010265	0.01026	0.010295	0.010369
337	0.010265	0.010261	0.010295	0.010367
338	0.010264	0.010259	0.010295	0.010367
339	0.010262	0.01026	0.010295	0.010365
340	0.010263	0.01026	0.010296	0.010365
341	0.010262	0.01026	0.010294	0.010366
342	0.010262	0.010259	0.010291	0.010366
343	0.010262	0.010261	0.010291	0.010365
344	0.010261	0.01026	0.010293	0.010366
345	0.010259	0.01026	0.010293	0.010364
346	0.010259	0.01026	0.010292	0.010363
347	0.01026	0.010258	0.010292	0.010363
348	0.010259	0.010257	0.010291	0.010361
349	0.010258	0.010257	0.01029	0.010361
350	0.010258	0.010256	0.01029	0.01036
351	0.01026	0.010256	0.010289	0.010357
352	0.01026	0.010256	0.010288	0.010358
353	0.010258	0.010257	0.010289	0.010358
354	0.010259	0.010256	0.01029	0.010359
355	0.010259	0.010256	0.01029	0.010358
356	0.010257	0.010254	0.010289	0.010357
357	0.010257	0.010253	0.010285	0.010356
358	0.010257	0.010252	0.010285	0.010358
359	0.010258	0.010252	0.010287	0.010357
360	0.010259	0.010251	0.010287	0.010358
361	0.010257	0.010251	0.010288	0.010357
362	0.010256	0.01025	0.010289	0.010358
363	0.010255	0.01025	0.01029	0.010357
364	0.010255	0.010249	0.010288	0.010357
365	0.010256	0.010251	0.010288	0.010358
366	0.010255	0.010251	0.010287	0.010355
367	0.010254	0.010249	0.010288	0.010353
368	0.010253	0.010247	0.010287	0.010353
369	0.010254	0.010248	0.010289	0.010353
370	0.010254	0.010247	0.010289	0.010352
371	0.010255	0.010247	0.010288	0.010352
372	0.010255	0.010246	0.010287	0.010353
